name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"HAT-P-10 A b";"Confirmed";0.46;1.045;"Hot Jupiter";3.722469;0.0439;"HAT-P-10 A";125.0;4980.0;0.81;1031.5090606215;11.89;;;1.15;;;"WASP-11 b, HAT-P-10 b";"12/13/19";"G-B: High resolution IR";2307.05580;"{"He":"Upper limit"}";;"No";"3sigma upper limit of <1.56 % with SPIRou"
"HAT-P-11 b";"Confirmed";0.0736;0.389;"Warm";4.887802443;0.053;"HAT-P-11";37.89;4780.0;0.683;750.0;9.59;7.6080000;7.0090000;1.15;196.693;31.097;;"7/7/22";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HAT-P-11 b";"Confirmed";0.0736;0.389;"Warm";4.887802443;0.053;"HAT-P-11";37.89;4780.0;0.683;750.0;9.59;7.6080000;7.0090000;1.15;196.693;31.097;;"7/7/22";"G-B: High resolution IR";"2018Sci...362.1384A";"{"He":"Detection"}";0;"No";"Using transit observations with CARMENES"
"HAT-P-11 b";"Confirmed";0.0736;0.389;"Warm";4.887802443;0.053;"HAT-P-11";37.89;4780.0;0.683;750.0;9.59;7.6080000;7.0090000;1.15;196.693;31.097;;"7/7/22";"G-B: High resolution IR";2307.05580;"{"He":"Detection"}";;"No";"Excess absorption detection of 0.76 ± 0.07 % with SPIRou."
"HAT-P-11 b";"Confirmed";0.0736;0.389;"Warm";4.887802443;0.053;"HAT-P-11";37.89;4780.0;0.683;750.0;9.59;7.6080000;7.0090000;1.15;196.693;31.097;;"7/7/22";"HST STIS";2211.05155;"{"H":"Detection","C+":"Detection"}";;"No";"Ly-alpha and C+ detection"
"HAT-P-11 b";"Confirmed";0.0736;0.389;"Warm";4.887802443;0.053;"HAT-P-11";37.89;4780.0;0.683;750.0;9.59;7.6080000;7.0090000;1.15;196.693;31.097;;"7/7/22";"HST WFC3";"2018ApJ...868L..34M";"{"He":"Detection"}";0;"No";
"HAT-P-12 b";"Confirmed";0.210489884529;0.949;"Hot Jupiter";3.2130598;0.0384;"HAT-P-12";142.5;4650.0;0.7;1000.0;12.84;10.7940000;10.1080000;1.15;292.26;85.51;;"7/7/22";"G-B: Low resolution visible";2109.11235;"{"H2O":"Upper limit","CH4":"Upper limit","NH3":"Upper limit"}";0;"No";"Transmission spectrum affected y stellar activity"
"HAT-P-12 b";"Confirmed";0.210489884529;0.949;"Hot Jupiter";3.2130598;0.0384;"HAT-P-12";142.5;4650.0;0.7;1000.0;12.84;10.7940000;10.1080000;1.15;292.26;85.51;;"7/7/22";"HST STIS";2004.03551;"{"H2O":"Detection"}";0;"No";
"HAT-P-12 b";"Confirmed";0.210489884529;0.949;"Hot Jupiter";3.2130598;0.0384;"HAT-P-12";142.5;4650.0;0.7;1000.0;12.84;10.7940000;10.1080000;1.15;292.26;85.51;;"7/7/22";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HAT-P-14 b";"Confirmed";2.444;1.01;"Hot Jupiter";4.627686;0.0606;"HAT-P-14";205.0;6600.0;1.468;1566.4051642366;9.98;9.0940000;8.8510000;1.15;23.6436;59.9109;"WASP-27 b";"9/24/21";"JWST-NIRSpec";2211.01459;"{"Featureless":"Detection"}";;"No";"Featureless spectra from 3-5 microns. R=100, median uncertainties of 50-60 ppm."
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"G-B:Low resolution IR";2204.11865;"{"He":"Detection"}";;"No";"Narrow band photometry with Palomar/WIRC. Excess depth is 0.70±0.16%"
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"G-B:Low resolution IR";"2021ApJ...909L..10P";"{"He":"Detection"}";0;"No";"Using ultra-narrow band photometry"
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"JWST-NIRISS";2211.13761;"{"He":"Detection","H2O":"Detection"}";;"No";
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"G-B: Low resolution visible";2305.19441;"{"Featureless":"Detection"}";;"No";
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"JWST-NIRISS";2310.14950;"{"He":"Detection","H2O":"Detection","CO2":"Detection","Cloudy":"Detection","CH4":"No detection"}";;"No";"Also contains HST/WFC3 and Spitzer/IRAC transit observations"
"HAT-P-18 b";"Confirmed";0.183;0.947;"Hot Jupiter";5.508029;0.0559;"HAT-P-18";166.0;4870.0;0.717;841.0;12.76;10.8220000;10.2340000;1.15;264.3349;49.1418;"HAT-18b";"7/7/22";"G-B: Low resolution visible";"2017MNRAS.468.3907K";"{"Rayleigh Scattering":"Detection"}";0;"No";"Rayleigh Scattering detection in HAT-P-18b.No Na/K detected."
"HAT-P-26 b";"Confirmed";0.0585;0.5647;"Hot";4.234516;0.0479;"HAT-P-26";134.0;5079.0;0.788;993.3608046242;11.74;10.0800000;9.5810000;1.15;241.296;26.9866;;"3/25/19";"G-B:Low resolution IR";2204.11865;"{"He":"Detection"}";;"No";"Narrow band photometry with Palomar/WIRC. 3.1σ detection, excess depth of 0.31±0.10% at mid-transit."
"HAT-P-26 b";"Confirmed";0.0585;0.5647;"Hot";4.234516;0.0479;"HAT-P-26";134.0;5079.0;0.788;993.3608046242;11.74;10.0800000;9.5810000;1.15;241.296;26.9866;;"3/25/19";"HST WFC3";2303.03610;"{"H2O":"Detection","TiO":"Detection"}";;"No";
"HAT-P-26 b";"Confirmed";0.0585;0.5647;"Hot";4.234516;0.0479;"HAT-P-26";134.0;5079.0;0.788;993.3608046242;11.74;10.0800000;9.5810000;1.15;241.296;26.9866;;"3/25/19";"G-B: Low resolution visible";2112.06678;"{"Featureless spectra":"Detection"}";0;"No";
