1000K PIGLE 4 bead 1000 geometries / EOM-CCSD,
# Energy (nm),Intensity / cmÂ² per molecule
95.10532567,4.48E-73
94.96972929,1.31E-75
94.83451902,3.33E-78
94.6996932,7.38E-81
94.56525019,1.42E-83
94.43118838,2.39E-86
94.29750614,3.49E-89
94.16420186,4.44E-92
94.03127394,4.92E-95
93.89872079,4.74E-98
93.76654083,3.98E-101
93.63473248,2.91E-104
93.50329418,1.85E-107
93.37222437,1.03E-110
93.2415215,4.96E-114
93.11118404,2.08E-117
92.98121045,7.63E-121
92.85159922,2.43E-124
92.72234883,6.73E-128
92.59345777,1.63E-131
92.46492456,3.42E-135
92.33674769,6.25E-139
92.2089257,9.96E-143
92.0814571,1.38E-146
91.95434044,1.67E-150
91.82757426,1.75E-154
91.70115712,1.61E-158
91.57508756,1.28E-162
91.44936417,8.88E-167
91.32398552,5.36E-171
91.19895019,2.82E-175
91.07425677,1.29E-179
90.94990386,5.15E-184
90.82589008,1.79E-188
90.70221403,5.40E-193
90.57887434,1.42E-197
90.45586963,3.25E-202
90.33319855,6.49E-207
90.21085973,1.13E-211
90.08885184,1.70E-216
