qTIP4P/F single point,Atmospec gaussing broadening = 0.3eV
# Energy (nm),Intensity / cmÂ² per molecule
105.9961928,1.81E-18
105.8698941,1.76E-18
105.7438961,1.70E-18
105.6181976,1.65E-18
105.4927976,1.59E-18
105.367695,1.53E-18
105.2428888,1.48E-18
105.1183779,1.42E-18
104.9941613,1.36E-18
104.8702379,1.29E-18
104.7466066,1.23E-18
104.6232666,1.17E-18
104.5002166,1.11E-18
104.3774558,1.06E-18
104.254983,9.98E-19
104.1327973,9.41E-19
104.0108977,8.86E-19
103.8892831,8.32E-19
103.7679526,7.79E-19
103.6469052,7.29E-19
103.5261399,6.80E-19
103.4056556,6.33E-19
103.2854515,5.88E-19
103.1655265,5.45E-19
103.0458797,5.04E-19
102.92651,4.65E-19
102.8074166,4.29E-19
102.6885985,3.94E-19
102.5700547,3.61E-19
102.4517843,3.31E-19
102.3337864,3.02E-19
102.2160599,2.75E-19
102.098604,2.50E-19
101.9814177,2.27E-19
101.8645001,2.05E-19
101.7478503,1.85E-19
101.6314673,1.67E-19
101.5153503,1.50E-19
101.3994983,1.35E-19
101.2839104,1.21E-19
101.1685858,1.08E-19
101.0535235,9.63E-20
100.9387226,8.57E-20
100.8241822,7.61E-20
100.7099015,6.74E-20
100.5958796,5.96E-20
100.4821156,5.25E-20
100.3686086,4.62E-20
100.2553578,4.06E-20
100.1423622,3.56E-20
100.0296211,3.11E-20
99.91713348,2.72E-20
99.80489862,2.36E-20
99.69291561,2.05E-20
99.58118362,1.78E-20
99.46970179,1.54E-20
99.3584693,1.33E-20
99.24748529,1.15E-20
99.13674896,9.84E-21
99.02625946,8.44E-21
98.91601596,7.22E-21
98.80601766,6.17E-21
98.69626373,5.26E-21
98.58675336,4.47E-21
98.47748574,3.79E-21
98.36846006,3.21E-21
98.25967553,2.71E-21
98.15113133,2.29E-21
98.04282668,1.92E-21
97.93476078,1.61E-21
97.82693285,1.35E-21
97.7193421,1.13E-21
97.61198775,9.41E-22
97.50486901,7.83E-22
97.39798512,6.50E-22
97.29133531,5.39E-22
97.1849188,4.45E-22
97.07873483,3.67E-22
96.97278264,3.02E-22
96.86706147,2.48E-22
96.76157057,2.03E-22
96.65630918,1.66E-22
96.55127656,1.36E-22
96.44647197,1.11E-22
96.34189465,8.98E-23
96.23754387,7.28E-23
96.1334189,5.89E-23
96.02951901,4.76E-23
95.92584346,3.83E-23
95.82239152,3.08E-23
95.71916249,2.47E-23
95.61615563,1.98E-23
95.51337023,1.58E-23
95.41080558,1.26E-23
95.30846097,9.99E-24
95.20633569,7.93E-24
